order,file_path,thumbnail,width,height,date_created
69,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0069.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0069_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
70,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0070.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0070_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
71,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0071.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0071_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
72,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0072.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0072_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
73,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0073.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0073_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
74,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0074.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0074_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
75,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0075.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0075_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
76,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0076.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0076_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
77,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0077.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0077_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
78,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0078.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0078_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
79,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0079.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0079_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
80,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0080.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0080_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
81,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0081.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0081_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
82,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0082.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0082_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
